,source,target
786,she lookde skeptical when leaning against the wall observing the celebrities,she looked skeptical when leaning against the wall observing the celebrities
787,i asw an aged aged man asitting on a gate,i saw an aged aged man asitting on a gate
788,it ahs ot be poened for vessels more than hgih,it has to be opened for vessels more than high
789,ddi you see him,did you see him
790,teh infrared aiming sensor si cooled with liquid nitrogen,the infrared aiming sensor is cooled with liquid nitrogen
791,the neighbourhood was part fo the million programme,the neighbourhood was part of the million programme
792,climate in odzaci municipality acn be described as moderatecontinental,climate in odzaci municipality can be described as moderatecontinental
793,three peopel on bikes are coming ovre a ridge while a man in orange watches,three people on bikes are coming over a ridge while a man in orange watches
794,under the original city charter the mayro was elected to a oneyear term,under the original city charter the mayor was elected to a oneyear term
795,however it is becoming a less clsoed technology trhough teh availability fo competing products,however it is becoming a less closed technology through the availability of competing products
796,after his incarceration wolfson beacme a prisonreform advocate,after his incarceration wolfson became a prisonreform advocate
797,mcneely hall was also built hte ofllowing year,mcneely hall was also built the following year
798,he goes no to say that heinlein celebrates teh competent person,he goes on to say that heinlein celebrates the competent person
799,ballard novel on whihc cronenbergs film was based,ballard novel on which cronenbergs film was based
800,one of the omst ingenious and thrliling tales fo cirme that i have seen,one of the most ingenious and thrilling tales of crime that i have seen
801,this is reinforced by an article by robert j sameulson in newsweek,this is reinforced by an article by robert j samuelson in newsweek
802,hte dam is known sa marina barrage,the dam is known as marina barrage
803,a young woman focuses on the screen of her treadmill as she exrecises and listens to music,a young woman focuses on the screen of her treadmill as she exercises and listens to music
804,then i asw a man standing in the street outside this block,then i saw a man standing in the street outside this block
805,behrman was bonr in new york city,behrman was born in new york city
806,she despises em now,she despises me now
807,when their inevstments failed spohie and blil lots nearly half a million pounds,when their investments failed sophie and bill lost nearly half a million pounds
808,at maximum pressure it tkaes approximately to drive the supercharger,at maximum pressure it takes approximately to drive the supercharger
809,ta his side was the yonug arab teh oby had spoken with eariler,at his side was the young arab the boy had spoken with earlier
810,seh performed in leading and supporting roles over nealry isx deacdes,she performed in leading and supporting roles over nearly six decades
811,please search for the live ni sna juan capistrano ipcture,please search for the live in san juan capistrano picture
812,there he tells her of his thoughts before the discussion turns ot lovemaking,there he tells her of his thoughts before the discussion turns to lovemaking
813,also xalapa naolinco next tonw has high levels of environmetnal pollution,also xalapa naolinco next town has high levels of environmental pollution
814,acn t you the queen said ni a pitying toen,can t you the queen said in a pitying tone
815,the icty is located south fo the canaad united states border,the city is located south of the canada united states border
816,as the games plot progresses his agenad and motives become cleaerr,as the games plot progresses his agenda and motives become clearer
817,the town hall of montastruc is situated in the middle fo the village,the town hall of montastruc is situated in the middle of the village
818,these were new topological invariants senstiive ot hte underlying smooth structure of the fourmanifold,these were new topological invariants sensitive to the underlying smooth structure of the fourmanifold
